id,nome,indirizzo,cap,citta,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione
10,I Colori del Mondo,"Via Leonardo Da Vinci, 32",90145,Palermo,0919768143,0919768145,,icoloridelmondo@pinguinoviaggi.net,,agenzia di viaggi,,DA.NI.MA s.a.s di Lo Cascio Nicoletta & C.
26,Kinos Viaggi,"Via Sampolo, 73",90143,Palermo,091307036,091309624,,info@kinosviaggi.com,www.kinosviaggi.com,agenzia di viaggi,,Capricorno '75 S.n.c.
30,L & T viaggi,"Corso delle Province, 149",90128,Palermo,0952880709,0952880709,,ltviaggi@hotmail.it,,agenzia di viaggi,,L & T srl
35,Ausonia Viaggi,"Via Gaetano Daita, 66",90139,Palermo,091/585555,091320578,,info@ausoniaviaggi.it,www.ausoniaviaggi.it,agenzia di viaggi,,Ausoniaviaggi S.r.l.
40,Manfre' Viaggi,"Via Empedocle Restivo, 34/36",90144,Palermo,091525442,091525451,,manfreviaggi@tin.it,www.manfreviaggi.it,agenzia di viaggi,,Manfre' Viaggi S.r.l.
46,Borneo Viaggi,"Via G. Pipitone Federico, 33",90144,Palermo,091/7302746,091/7826559,,borneoviaggi@hotmail.it,www.borneoviaggi.it,agenzia di viaggi,,Borneo Viaggi di Tuttoilmondo Stefania
55,Montalto Viaggi,"Via Vincenzo Di Marco, 5/A",90143,Palermo,0915084407,09150844407,,montaltoadv@libero.it,,agenzia di viaggi,,
58,Noema Viaggi,"Via Gioacchino Di Marzo, 13",90144,Palermo,091300675,091302531,,info@noemaviaggi.it,www.noemaviaggi.it,agenzia di viaggi,,Noema Viaggi S.r.l.
72,Cocciola Viaggi,"Via Ausonia, 116",90146,Palermo,091/528322,091/521887,,info@cocciolaviaggi.it,www.cocciolaviaggi.it,agenzia di viaggi,,Alemarviaggi S.r.l.
80,Costa delle Mimose,"Viale Regione Siciliana Nord Ovest, 9939",90147,Palermo,091/6910644,091/7481898,,costaantonella1973@gmail.com,www.costadellemimose.it,agenzia di viaggi,,Costa delle Mimose S.r.l.
